harvest_date,harvest_type,compartment,plant_id,total_fw_g,total_fruit_count,green_fruit_count,green_fw_g,coloured_fruit_count,coloured_fw_g,red_fruit_count,red_fw_g
2024-10-07,destructive_1,306,306-1,77.92,35.0,,,,,,
2024-10-07,destructive_1,306,306-2,71.6,36.0,,,,,,
2024-10-07,destructive_1,306,306-3,54.31,30.0,,,,,,
2024-10-07,destructive_1,306,306-4,76.03,39.0,,,,,,
2024-10-07,destructive_1,306,306-5,45.44,29.0,,,,,,
2024-10-07,destructive_1,306,306-6,84.64,40.0,,,,,,
2024-10-22,destructive_2,306,306-19,278.94,54.0,54.0,278.94,,,0.0,0.0
2024-10-22,destructive_2,306,306-20,266.84000000000003,62.0,59.0,243.3,3.0,23.54,,
2024-10-22,destructive_2,306,306-21,289.56,63.0,63.0,289.56,,,,
2024-10-22,destructive_2,306,306-22,256.06,60.0,60.0,256.06,,,,
2024-10-22,destructive_2,306,306-23,204.04,52.0,52.0,204.04,,,,
2024-10-22,destructive_2,306,306-24,277.78,56.0,55.0,268.5,1.0,9.28,,
2024-11-05,destructive_3,306,306-1,337.15,61.0,27.0,118.01,24.0,140.93,10.0,78.21
2024-11-05,destructive_3,306,306-2,192.91000000000003,37.0,25.0,111.73,12.0,81.18,,
2024-11-05,destructive_3,306,306-3,339.15,49.0,16.0,87.49,25.0,184.35,8.0,67.31
2024-11-05,destructive_3,306,306-4,490.38000000000005,70.0,36.0,196.86,23.0,179.35,11.0,114.17
2024-11-05,destructive_3,306,306-5,300.91,42.0,16.0,85.98,19.0,147.75,7.0,67.18
2024-11-05,destructive_3,306,306-6,418.24,62.0,27.0,150.37,24.0,166.31,11.0,101.56
2024-11-15,final_harvest,306,306-1,230.96999999999997,32.0,10.0,55.08,,,22.0,175.89
2024-11-15,final_harvest,306,306-2,457.03,57.0,24.0,153.21,,,33.0,303.82
2024-11-15,final_harvest,306,306-3,280.46999999999997,33.0,5.0,31.83,,,28.0,248.64
2024-11-15,final_harvest,306,306-4,262.16,40.0,9.0,38.51,,,31.0,223.65
2024-11-15,final_harvest,306,306-5,322.81,44.0,11.0,56.74,,,33.0,266.07
2024-11-15,final_harvest,306,306-6,474.22,71.0,38.0,207.73,,,33.0,266.49
2024-11-15,final_harvest,306,306-7,205.23,35.0,12.0,37.01,,,23.0,168.22
2024-11-15,final_harvest,306,306-8,499.7,70.0,29.0,135.8,,,41.0,363.9
2024-11-15,final_harvest,306,306-9,449.51,53.0,12.0,70.07,,,41.0,379.44
2024-11-15,final_harvest,306,306-10,348.75,48.0,7.0,27.24,,,41.0,321.51
2024-11-15,final_harvest,306,306-11,295.11,40.0,12.0,54.09,,,28.0,241.02
2024-11-15,final_harvest,306,306-12,441.31,59.0,26.0,143.45,,,33.0,297.86
2024-11-15,final_harvest,306,306-13,314.68,41.0,11.0,50.56,,,30.0,264.12
2024-11-15,final_harvest,306,306-14,327.06,44.0,14.0,73.93,,,30.0,253.13
2024-11-15,final_harvest,306,306-15,267.46000000000004,37.0,15.0,74.19,,,22.0,193.27
2024-11-15,final_harvest,306,306-16,342.63,48.0,11.0,31.01,,,37.0,311.62
2024-11-15,final_harvest,306,306-17,532.12,64.0,18.0,118.65,,,46.0,413.47
2024-11-15,final_harvest,306,306-18,437.66,51.0,13.0,97.44,,,38.0,340.22
2024-11-15,final_harvest,306,306-19,291.46,38.0,8.0,40.27,,,30.0,251.19
2024-11-15,final_harvest,306,306-20,220.88,37.0,10.0,35.01,,,27.0,185.87
2024-11-15,final_harvest,306,306-21,118.43,26.0,7.0,19.53,,,19.0,98.9
2024-11-15,final_harvest,306,306-22,,0.0,,,,,,372.24
2024-11-15,final_harvest,306,306-23,,0.0,,,,,,387.93
2024-11-15,final_harvest,306,306-24,,0.0,,,,,,182.2
2024-11-15,final_harvest,306,306-25,,0.0,,,,,,342.51
2024-11-15,final_harvest,306,306-26,,0.0,,,,,,291.71
2024-11-15,final_harvest,306,306-27,,0.0,,,,,,427.0
2024-11-15,final_harvest,306,306-28,,0.0,,,,,,237.65
2024-11-15,final_harvest,306,306-29,,0.0,,,,,,247.6
2024-11-15,final_harvest,306,306-30,,0.0,,,,,,210.38
2024-11-15,final_harvest,306,306-31,,0.0,,,,,,312.47
2024-11-15,final_harvest,306,306-32,,0.0,,,,,,295.23
2024-11-15,final_harvest,306,306-33,,0.0,,,,,,217.43
2024-11-15,final_harvest,306,306-34,,0.0,,,,,,315.93
2024-11-15,final_harvest,306,306-35,,0.0,,,,,,291.56
2024-11-15,final_harvest,306,306-36,,0.0,,,,,,208.66
2024-11-15,final_harvest,306,306-37,,0.0,,,,,,128.36
2024-11-15,final_harvest,306,306-38,,0.0,,,,,,286.35
2024-11-15,final_harvest,306,306-39,,0.0,,,,,,359.15
2024-11-15,final_harvest,306,306-40,,0.0,,,,,,263.09
2024-11-15,final_harvest,306,306-41,,0.0,,,,,,215.03
2024-11-15,final_harvest,306,306-42,,0.0,,,,,,278.4
2024-11-15,final_harvest,306,306-43,,0.0,,,,,,296.77
2024-11-15,final_harvest,306,306-44,,0.0,,,,,,278.41
2024-11-15,final_harvest,306,306-45,,0.0,,,,,,274.37
2024-11-15,final_harvest,306,306-46,,0.0,,,,,,322.86
2024-11-15,final_harvest,306,306-47,,0.0,,,,,,302.18
2024-11-15,final_harvest,306,306-48,,0.0,,,,,,253.58
2024-11-15,final_harvest,306,306-49,,0.0,,,,,,258.87
2024-11-15,final_harvest,306,306-50,,0.0,,,,,,333.7
